2018-09-05 15:43:02,477 [Worker-9: Creating project "P1-Charles-Crandall"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:P1-Charles-Crandall:0.0.1-SNAPSHOT @ D:\Revature\Project1\P1-Charles-Crandall\pom.xml.
2018-09-05 15:43:03,601 [Worker-9: Creating project "P1-Charles-Crandall"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /P1-Charles-Crandall/src/main/java
2018-09-05 15:43:03,603 [Worker-9: Creating project "P1-Charles-Crandall"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /P1-Charles-Crandall/src/main/resources
2018-09-05 15:43:03,604 [Worker-9: Creating project "P1-Charles-Crandall"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /P1-Charles-Crandall/src/test/java
2018-09-05 15:43:03,604 [Worker-9: Creating project "P1-Charles-Crandall"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /P1-Charles-Crandall/src/test/resources
2018-09-05 15:43:07,923 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 15:43:07,956 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-05 15:43:07,959 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 15:43:07,962 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-05 15:43:31,657 [Worker-17: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 15:43:31,662 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
